"incident_num","date_time","day_of_week","address_number_primary","address_dir_primary","address_road_primary","address_sfx_primary","address_dir_intersecting","address_road_intersecting","address_sfx_intersecting","call_type","disposition","beat","priority"
"E23010005527","2023-01-05 06:15:01","5","7300","","MISSION GORGE","RD","","","","459A","K","322","3"
"E23010005528","2023-01-05 06:15:48","5","5200","","GAINES","ST","","","","SELENF","K","622","3"
"E23010005529","2023-01-05 06:16:43","5","3900","","HOME","AVE","","","","MTG","K","837","4"
"E23010005530","2023-01-05 06:20:06","5","1200","","06TH","AVE","","","","487R","R","524","3"
"E23010005531","2023-01-05 06:20:37","5","0","","09TH","AVE","","E","","415V","K","524","1"
"E23010005532","2023-01-05 06:22:45","5","3900","","FEDERAL","BLV","","","","MTG","K","837","4"
"E23010005533","2023-01-05 06:24:33","5","4000","","GOVERNOR","DR","","","","459A","K","115","3"
"E23010005534","2023-01-05 06:25:02","5","4200","","EASTGATE","MAL","","","","MTG","O","115","4"
"E23010005535","2023-01-05 06:25:31","5","4000","","MURPHY CANYON","RD","","","","1186","K","313","3"
"E23010005536","2023-01-05 06:25:38","5","1500","","IMPERIAL","AVE","","","","1186","O","521","3"
"E23010005537","2023-01-05 06:27:16","5","0","","COLLEGE","AVE","","COLLEGE GROVE","","653M","O","841","9"
"E23010005538","2023-01-05 06:28:48","5","500","","14TH","ST","","","","5150","K","521","2"
"E23010005539","2023-01-05 06:29:07","5","10700","","POMERADO","RD","","","","488R","R","241","9"
"E23010005540","2023-01-05 06:30:26","5","7200","","SKYLINE","DR","","","","MTG","K","437","4"
"E23010005543","2023-01-05 06:36:13","5","7500","","FAY","AVE","","","","602","K","124","2"
"E23010005544","2023-01-05 06:37:29","5","7200","","CLAIREMONT MESA","BLV","","","","459A","U","313","3"
"E23010005545","2023-01-05 06:39:00","5","0","","HILLERY","DR","","CAMINITO FLORES","","1183","R","242","0"
"E23010005547","2023-01-05 06:41:50","5","4000","","MEADE","AVE","","","","FU","K","825","2"
"E23010005548","2023-01-05 06:42:00","5","0","","TORREY PINES","RD","","PROSPECT PL","","HZRD","K","124","1"
"E23010005549","2023-01-05 06:46:00","5","5400","","UNIVERSITY","AVE","","","","586","K","822","4"
"E23010005550","2023-01-05 06:47:05","5","11800","","CARMEL MOUNTAIN","RD","","","","415","CAN","232","2"
"E23010005552","2023-01-05 06:50:04","5","7700","","HAZARD CENTER","DR","","","","417","A","315","1"
"E23010005553","2023-01-05 06:55:44","5","6600","","MIRAMAR","RD","","","","586","K","931","4"
"E23010005554","2023-01-05 06:55:50","5","0","SB","15","","","SR-94 W","","1150","O","518","2"
"E23010005555","2023-01-05 06:57:18","5","0","","NAPA","ST","","LINDA VISTA","","T","K","622","2"
"E23010005556","2023-01-05 06:58:06","5","3600","","SPORTS ARENA","BLV","","","","459A","CAN","611","3"
"E23010005557","2023-01-05 06:58:20","5","0","SB","5","","","DAIRY MART","","T","O","722","2"
"E23010005558","2023-01-05 06:59:24","5","1400","","IMPERIAL","AVE","","","","1149","O","521","2"
"E23010005559","2023-01-05 06:59:34","5","4200","","WIGHTMAN","ST","","","","T","K","834","2"
"E23010005560","2023-01-05 07:00:06","5","0","","EUCLID","AVE","","WIGHTMAN","","FJ","K","828","2"
"E23010005561","2023-01-05 07:00:11","5","3300","","GAINES","ST","","","","1151","K","611","2"
"E23010005562","2023-01-05 07:00:37","5","1200","","F","ST","","","","1185","R","521","3"
"E23010005563","2023-01-05 07:00:47","5","13500","","DANIELSON","ST","","","","1186","K","-1","3"
"E23010005564","2023-01-05 07:01:26","5","0","","IMPERIAL","AVE","","17TH","","11-8","K","521","0"
"E23010005565","2023-01-05 07:02:55","5","4400","","CLEVELAND","AVE","","","","586","K","624","4"
"E23010005566","2023-01-05 07:02:57","5","0","","BALBOA PARK","","","","","1186","K","-1","3"
"E23010005567","2023-01-05 07:04:10","5","3400","","ADAMS","AVE","","","","CC","O","814","3"
"E23010005568","2023-01-05 07:04:15","5","1700","","COOLIDGE","ST","","","","586","K","621","4"
"E23010005569","2023-01-05 07:05:07","5","3400","","SPORTS ARENA","BLV","","","","459A","K","611","3"
"E23010005570","2023-01-05 07:06:35","5","0","","FRONT","ST","","JUNIPER","","451","O","529","1"
"E23010005571","2023-01-05 07:07:22","5","3400","","MARATHON","DR","","","","586","O","311","4"
"E23010005572","2023-01-05 07:08:18","5","1300","","04TH","AVE","","","","CW","K","524","1"
"E23010005573","2023-01-05 07:08:44","5","4000","","ADAMS","AVE","","","","SELENF","K","825","3"
"E23010005574","2023-01-05 07:08:48","5","1100","W","SAN YSIDRO","BLV","","","","459A","U","712","3"
"E23010005575","2023-01-05 07:09:25","5","2100","","BALBOA","DR","","","","1150","O","531","2"
"E23010005577","2023-01-05 07:10:08","5","3600","","CENTRAL","AVE","","","","SELENF","K","834","3"
"E23010005578","2023-01-05 07:10:39","5","0","","ROSECRANS","ST","","LYTTON","","CITE","O","612","2"
"E23010005579","2023-01-05 07:10:58","5","3000","","HANCOCK","ST","","","","1131","K","611","1"
"E23010005580","2023-01-05 07:11:13","5","3500","","DEL SOL","BLV","","","","10851R","R","723","2"
"E23010005581","2023-01-05 07:12:10","5","4300","","BANNOCK","AVE","","","","586","K","114","2"
"E23010005582","2023-01-05 07:13:39","5","10400","","FLANDERS","PL","","","","911","CAN","242","1"
"E23010005583","2023-01-05 07:13:46","5","1600","","ROSECRANS","ST","","","","415","K","615","2"
"E23010005584","2023-01-05 07:13:49","5","8900","","GRAMERCY","DR","","","","INFO","W","311","2"
"E23010005585","2023-01-05 07:15:05","5","3300","","ADMIRAL BOLAND","WAY","","","","10851","S","611","1"
"E23010005586","2023-01-05 07:16:26","5","0","","SPORTS ARENA","BLV","","HANCOCK","","5150","K","611","2"
"E23010005587","2023-01-05 07:17:29","5","4100","","ALPHA","ST","","","","FU","K","442","2"
"E23010005588","2023-01-05 07:18:39","5","8100","","LA JOLLA SHORES","DR","","","","415","O","124","2"
"E23010005589","2023-01-05 07:20:07","5","2200","","PACIFIC BEACH","DR","","","","INFO","W","122","2"
"E23010005590","2023-01-05 07:20:15","5","3300","","ADMIRAL BOLAND","WAY","","","","10851","S","611","1"
"E23010005591","2023-01-05 07:22:07","5","700","","17TH","ST","","","","MPSSTP","O","521","2"
"E23010005592","2023-01-05 07:22:53","5","3600","","EUCLID","AVE","","","","415","K","828","2"
"E23010005593","2023-01-05 07:23:21","5","3300","","ADMIRAL BOLAND","WAY","","","","10851","S","611","1"
"E23010005594","2023-01-05 07:23:27","5","8900","","CLAIREMONT MESA","BLV","","","","COURT","","313","4"
"E23010005595","2023-01-05 07:24:10","5","4000","","TAYLOR","ST","","","","911P","K","625","2"
"E23010005596","2023-01-05 07:24:32","5","4100","","43RD","ST","","","","PLATE","R","832","2"
"E23010005597","2023-01-05 07:24:41","5","1600","","PRECISION PARK","LN","","","","10851R","R","712","2"
"E23010005598","2023-01-05 07:28:39","5","0","","GARNET","AVE","","CASS","","1151","K","122","2"
"E23010005599","2023-01-05 07:29:55","5","8900","","CLAIREMONT MESA","BLV","","","","COURT","","313","4"
"E23010005600","2023-01-05 07:31:59","5","1500","","SATELLITE","BLV","","","","10851R","R","721","2"
"E23010005601","2023-01-05 07:32:05","5","5500","","RUFFIN","RD","","","","MTG","K","313","4"
"E23010005602","2023-01-05 07:32:51","5","4900","","MURPHY CANYON","RD","","","","MTG","K","313","4"
"E23010005603","2023-01-05 07:33:23","5","4100","","03RD","AVE","","","","WARRANT","K","627","3"
"E23010005604","2023-01-05 07:33:25","5","0","","DENNERY","RD","","PALM (SB)","","CW","U","725","1"
"E23010005605","2023-01-05 07:34:39","5","4300","","LA JOLLA VILLAGE","DR","","","","459A","K","115","3"
"E23010005606","2023-01-05 07:35:04","5","0","","08TH","AVE","","E","","SELENF","K","524","3"
"E23010005607","2023-01-05 07:35:44","5","0","S","47TH","ST","","LOGAN","","1150","K","446","2"
"E23010005608","2023-01-05 07:35:58","5","800","","OLIVER","AVE","","","","11-7","A","122","1"
"E23010005609","2023-01-05 07:36:05","5","200","","C","ST","","","","1186","K","524","3"
"E23010005610","2023-01-05 07:36:46","5","0","","MISSION CENTER","RD","","SEVAN","","HZRD","W","314","1"
"E23010005611","2023-01-05 07:38:11","5","1000","","KETTNER","BLV","","","","MTG","K","524","4"
"E23010005612","2023-01-05 07:38:50","5","0","S","30TH","ST","","CLAY","","1171","K","512","1"
"E23010005613","2023-01-05 07:40:06","5","0","","KEARNY","AVE","","CESAR E CHAVEZ PKY E","","FD","K","512","2"
"E23010005614","2023-01-05 07:40:07","5","2000","","NATIONAL","AVE","","","","FU","O","511","2"
"E23010005615","2023-01-05 07:40:15","5","10800","","MONTONGO","ST","","","","SELENF","K","242","3"
"E23010005616","2023-01-05 07:40:47","5","2500","","IMPERIAL","AVE","","","","415","K","515","2"
"E23010005617","2023-01-05 07:40:53","5","3500","","KURTZ","ST","","","","T","O","611","2"
"E23010005618","2023-01-05 07:41:08","5","8900","","RIO SAN DIEGO","DR","","","","459A","U","315","3"
"E23010005619","2023-01-05 07:41:20","5","200","W","CALLE PRIMERA","","","","","1185","R","712","3"
"E23010005620","2023-01-05 07:42:14","5","700","","17TH","ST","","","","MPSSTP","O","521","2"
"E23010005623","2023-01-05 07:43:58","5","8200","","ROSE QUARTZ","CIR","","","","459A","K","242","3"
"E23010005624","2023-01-05 07:45:22","5","5900","","MONTEZUMA","RD","","","","SELENF","O","326","3"
"E23010005625","2023-01-05 07:45:31","5","4100","","UNIVERSITY","AVE","","","","1151","O","832","2"
"E23010005626","2023-01-05 07:45:50","5","2800","","HISTORIC DECATUR","RD","","","","459A","K","611","3"
"E23010005627","2023-01-05 07:45:50","5","7000","","FRIARS","RD","","","","1186","O","621","3"
"E23010005628","2023-01-05 07:46:44","5","5400","","SANTA MARGARITA","ST","","","","CW","K","432","1"
"E23010005629","2023-01-05 07:49:37","5","3900","","KEARNY MESA","RD","","","","SELENF","O","313","3"
"E23010005630","2023-01-05 07:50:05","5","10100","","ROYAL ANN","AVE","","","","911","K","242","1"
"E23010005631","2023-01-05 07:52:21","5","600","","15TH","ST","","","","MPSSTP","K","521","2"
"E23010005632","2023-01-05 07:52:54","5","1900","","BALBOA","DR","","","","MPSSTP","R","531","2"
"E23010005633","2023-01-05 07:53:27","5","6400","","EL CAJON","BLV","","","","1146","K","327","0"
"E23010005634","2023-01-05 07:53:31","5","5000","","WIGHTMAN","ST","","","","FOOT","O","827","3"
"E23010005635","2023-01-05 07:54:20","5","1600","","PENTECOST","WAY","","","","1021","K","451","3"
"E23010005636","2023-01-05 07:56:05","5","3700","","FAIRMOUNT","AVE","","","","5150","A","834","2"
"E23010005637","2023-01-05 07:56:20","5","4300","","BETA","ST","","","","415V","A","441","1"
"E23010005638","2023-01-05 08:00:56","5","3900","","HICOCK","ST","","","","CW","K","611","1"
"E23010005639","2023-01-05 08:02:44","5","1100","","UNION","ST","","","","COURT","CAN","524","4"
"E23010005640","2023-01-05 08:03:42","5","0","","FAIRMOUNT","AVE","","GLENFIELD","","FD","K","836","2"
"E23010005641","2023-01-05 08:05:41","5","10400","","SAN DIEGO MISSION","RD","","","","602","K","321","2"
"E23010005642","2023-01-05 08:06:19","5","0","","14TH","ST","","","","5150","K","521","2"
"E23010005643","2023-01-05 08:07:04","5","6500","","EL CAJON","BLV","","","","SELENF","O","821","3"
"E23010005645","2023-01-05 08:15:28","5","4200","","OHIO","ST","","","","AU2","W","813","2"
"E23010005646","2023-01-05 08:16:42","5","1500","","CHALCEDONY","ST","","","","586","O","122","2"
"E23010005647","2023-01-05 08:16:46","5","7600","","FLAG LAKE","ST","","","","459A","K","324","2"
"E23010005648","2023-01-05 08:18:41","5","9000","","RIO SAN DIEGO","DR","","","","MPSSTP","O","315","2"
"E23010005649","2023-01-05 08:19:37","5","11100","","KELOWNA","RD","","","","1185","R","242","3"
"E23010005650","2023-01-05 08:21:13","5","8100","","SAN VICENTE","ST","","","","MTG","K","434","4"
"E23010005651","2023-01-05 08:22:40","5","4600","","GREENE","ST","","","","586","O","614","4"
"E23010005652","2023-01-05 08:23:08","5","7800","","CAMINO GLORITA","","","","","1153","K","115","2"
"E23010005653","2023-01-05 08:24:03","5","4600","","GREENE","ST","","","","586","CAN","614","4"
"E23010005655","2023-01-05 08:24:55","5","7900","","FROST","ST","","","","911","CAN","314","1"
"E23010005656","2023-01-05 08:25:14","5","3900","","CHAPMAN","ST","","","","1185","O","613","3"
"E23010005657","2023-01-05 08:25:21","5","5000","","FEDERAL","BLV","","","","415","K","447","2"
"E23010005658","2023-01-05 08:25:23","5","0","","SUNSET CLIFFS","BLV","","WEST POINT LOMA","","T","O","614","2"
"E23010005659","2023-01-05 08:25:53","5","1100","","UNION","ST","","","","COURT","K","524","4"
"E23010005660","2023-01-05 08:25:58","5","0","","15TH","ST","","K","","1146","K","521","0"
"E23010005661","2023-01-05 08:27:12","5","300","","FIR","ST","","","","911","CAN","529","1"
"E23010005662","2023-01-05 08:27:15","5","1200","","33RD","ST","","","","SCHOOL","K","517","4"
"E23010005663","2023-01-05 08:27:40","5","4300","","COPELAND","AVE","","","","SELENF","O","825","3"
"E23010005664","2023-01-05 08:27:47","5","1000","","C","ST","","","","SLEEPER","K","524","3"
"E23010005665","2023-01-05 08:27:53","5","9200","","ADOLPHIA","ST","","","","SELENF","K","233","3"
"E23010005666","2023-01-05 08:28:51","5","1300","","SUNSET CLIFFS","BLV","","","","T","K","618","2"
"E23010005667","2023-01-05 08:28:56","5","0","S","61ST","ST","","NEWCASTLE","","ANIMAL","K","452","1"
"E23010005668","2023-01-05 08:30:57","5","7800","","PARADISE VALLEY","RD","","","","20002R","R","437","3"
"E23010005669","2023-01-05 08:33:52","5","100","","LOUISIANA","AVE","","","","488","K","712","2"
"E23010005670","2023-01-05 08:33:58","5","5000","","VOLTAIRE","ST","","","","1150","K","614","2"
"E23010005671","2023-01-05 08:33:58","5","0","","CARDINAL","RD","","GENESEE","","HZRD","K","314","1"
"E23010005672","2023-01-05 08:34:43","5","0","","FRIARS","RD","","RIO BONITO","","FD","O","315","2"
"E23010005673","2023-01-05 08:35:18","5","800","W","GRAPE","ST","","","","586","O","527","4"
"E23010005674","2023-01-05 08:35:20","5","3200","","MEADE","AVE","","","","530","R","811","9"
"E23010005675","2023-01-05 08:36:42","5","4300","","ALVARADO CANYON","RD","","","","CW","K","321","1"
"E23010005676","2023-01-05 08:37:14","5","1400","","BROADWAY","","","","","EVID","O","521","3"
"E23010005677","2023-01-05 08:37:38","5","3100","","ISLAND","AVE","","","","MP","R","516","2"
"E23010005678","2023-01-05 08:39:46","5","8100","","LA JOLLA SHORES","DR","","","","415","A","124","2"
"E23010005680","2023-01-05 08:41:34","5","1900","","FRONT","ST","","","","SELENF","K","529","3"
"E23010005681","2023-01-05 08:43:38","5","1300","","NATIONAL","AVE","","","","242","R","521","1"
"E23010005682","2023-01-05 08:45:49","5","1900","","OLIVER","AVE","","","","10851R","R","122","2"
"E23010005683","2023-01-05 08:49:47","5","3900","","HOPE","ST","","","","INFO","W","841","2"
"E23010005684","2023-01-05 08:50:18","5","4300","","47TH","ST","","","","CW","K","824","1"
"E23010005685","2023-01-05 08:51:21","5","4000","","TAYLOR","ST","","","","911P","CAN","625","2"
"E23010005686","2023-01-05 08:51:58","5","3500","","FRANKLIN","AVE","","","","FU","K","441","2"
"E23010005687","2023-01-05 08:52:10","5","3900","","ALBATROSS","ST","","","","415","K","627","2"
"E23010005688","2023-01-05 08:52:33","5","600","","BEARDSLEY","ST","","","","415","K","512","2"
"E23010005689","2023-01-05 08:53:25","5","4700","","HOME","AVE","","","","530","W","447","4"
"E23010005690","2023-01-05 08:53:56","5","4500","","T","ST","","","","AU2","W","441","2"
"E23010005691","2023-01-05 08:54:08","5","1700","","HORNBLEND","ST","","","","602","K","122","2"
"E23010005692","2023-01-05 08:54:27","5","0","","SCRIPPS POWAY","PKY","","SCRIPPS SUMMIT","","HZRD","U","246","1"
"E23010005693","2023-01-05 08:54:32","5","0","","VALENCIA","PKY","","IMPERIAL","","MP","O","432","2"
"E23010005694","2023-01-05 08:54:46","5","7800","","VIA MONTEBELLO","","","","","5150","K","936","2"
"E23010005695","2023-01-05 08:55:57","5","2100","","PAN AMERICAN","RD","","","","MTG","K","531","4"
"E23010005696","2023-01-05 08:56:12","5","1000","","OUTER","RD","","","","415V","K","724","1"
"E23010005697","2023-01-05 08:57:15","5","1600","","UNIVERSITY","AVE","","","","T","O","627","2"
"E23010005698","2023-01-05 08:57:23","5","3600","","EL CAJON","BLV","","","","T","O","811","2"
"E23010005699","2023-01-05 09:00:03","5","4700","","IMPERIAL","AVE","","","","FU","K","446","2"
"E23010005700","2023-01-05 09:00:48","5","8900","","CLAIREMONT MESA","BLV","","","","COURT","","313","4"
"E23010005701","2023-01-05 09:00:50","5","0","","39TH","ST","","MYRTLE","","451","K","834","1"
"E23010005702","2023-01-05 09:01:28","5","9500","","CARMEL MOUNTAIN","RD","","","","FU","K","233","2"
"E23010005703","2023-01-05 09:02:14","5","1500","","04TH","AVE","","","","586","O","526","4"
"E23010005704","2023-01-05 09:03:16","5","0","S","35TH","ST","","FRANKLIN","","FU","O","441","2"
"E23010005707","2023-01-05 09:05:55","5","4300","","IMPERIAL","AVE","","","","415V","A","441","1"
"E23010005708","2023-01-05 09:07:20","5","9300","","SPECTRUM CENTER","BLV","","","","508R","R","313","3"
"E23010005709","2023-01-05 09:10:54","5","5400","","YERBA ANITA","DR","","","","SELENF","K","326","3"
"E23010005710","2023-01-05 09:12:11","5","3800","","52ND","ST","","","","10851","R","827","1"
"E23010005711","2023-01-05 09:12:38","5","800","","UNION","ST","","","","911","CAN","525","1"
"E23010005712","2023-01-05 09:13:14","5","0","","VIA DE SAN YSIDRO","","","CALLE PRIMERA","","SLEEPER","K","712","3"
"E23010005713","2023-01-05 09:14:01","5","4300","","47TH","ST","","","","SELENF","K","824","3"
"E23010005715","2023-01-05 09:15:28","5","5100","","FEDERAL","BLV","","","","911","K","451","1"
"E23010005716","2023-01-05 09:15:43","5","2600","","SODERBLOM","AVE","","","","SCHOOL","K","115","4"
"E23010005717","2023-01-05 09:16:02","5","1200","","K","ST","","","","SELENF","A","521","3"
"E23010005718","2023-01-05 09:18:10","5","8900","","CLAIREMONT MESA","BLV","","","","COURT","","313","4"
"E23010005719","2023-01-05 09:18:30","5","0","","NIGHTINGALE","WAY","","MEADOW LARK","","586","O","314","4"
"E23010005720","2023-01-05 09:18:52","5","4200","","37TH","ST","","","","PLATE","R","838","2"
"E23010005721","2023-01-05 09:19:59","5","0","","MISSION VILLAGE","DR","","SHAWN","","20002","R","311","1"
"E23010005722","2023-01-05 09:20:03","5","13300","","SALMON RIVER","RD","","","","MTG","K","233","4"
"E23010005723","2023-01-05 09:20:20","5","300","","OXFORD","ST","","","","MTG","K","-1","4"
"E23010005724","2023-01-05 09:20:51","5","3300","","SPORTS ARENA","BLV","","","","602","K","611","2"
"E23010005726","2023-01-05 09:21:07","5","4600","","VIEWRIDGE","AVE","","","","10852R","K","313","3"
"E23010005727","2023-01-05 09:21:22","5","4300","","LANDIS","ST","","","","MTG","K","834","4"
"E23010005728","2023-01-05 09:21:31","5","0","","CAMINO DE LA REINA","","","AVENIDA DEL RIO","","415","K","623","2"
"E23010005729","2023-01-05 09:26:26","5","0","","GARNET","AVE","","SOLEDAD MOUNTAIN","","T","O","122","2"
"E23010005730","2023-01-05 09:27:22","5","6400","","LINDA VISTA","RD","","","","1186","K","621","3"
"E23010005731","2023-01-05 09:28:08","5","3900","","GOVERNOR","DR","","","","5150","K","115","2"
"E23010005732","2023-01-05 09:29:00","5","5100","","BALBOA ARMS","DR","","","","5150V","K","111","1"
"E23010005733","2023-01-05 09:29:02","5","10300","","ORLECK","ST","","","","415PP","K","312","2"
"E23010005734","2023-01-05 09:29:31","5","600","S","36TH","ST","","","","FU","R","441","2"
"E23010005735","2023-01-05 09:30:04","5","2100","","PAN AMERICAN WEST","RD","","","","FD","K","531","2"
"E23010005736","2023-01-05 09:30:38","5","0","","05TH","AVE","","THORN","","5150","K","529","2"
"E23010005737","2023-01-05 09:31:09","5","4000","","TAYLOR","ST","","","","911P","K","625","2"
"E23010005739","2023-01-05 09:32:11","5","4000","","FEDERAL","BLV","","","","SELENF","K","837","3"
"E23010005740","2023-01-05 09:34:05","5","2900","","EAGLE","ST","","","","FOUND","K","529","4"
"E23010005741","2023-01-05 09:34:24","5","4200","","40TH","ST","","","","SELENF","K","832","3"
"E23010005742","2023-01-05 09:34:54","5","0","","09TH","AVE","","E","","1140OD","K","524","0"
"E23010005743","2023-01-05 09:35:32","5","7600","","GIRARD","AVE","","","","459A","U","124","3"
"E23010005744","2023-01-05 09:36:39","5","1200","","MORENA","BLV","","","","INFO","W","622","2"
"E23010005745","2023-01-05 09:36:40","5","1000","","UNIVERSITY","AVE","","","","415","K","627","2"
"E23010005746","2023-01-05 09:37:08","5","7800","","HERSCHEL","AVE","","","","602","K","124","2"
"E23010005747","2023-01-05 09:38:43","5","3800","","ALABAMA","ST","","","","586","O","813","4"
"E23010005748","2023-01-05 09:41:11","5","4200","","ALTADENA","AVE","","","","5150","K","826","2"
"E23010005750","2023-01-05 09:41:24","5","4100","","OREGON","ST","","","","SELENF","O","813","3"
"E23010005751","2023-01-05 09:43:07","5","3300","","NATIONAL","AVE","","","","10851RR","R","512","3"
"E23010005752","2023-01-05 09:43:52","5","1600","","IMPERIAL","AVE","","","","MPSSTP","O","521","2"
"E23010005753","2023-01-05 09:44:48","5","0","","OTAY MESA","RD","","CACTUS","","415","K","713","2"
"E23010005754","2023-01-05 09:45:31","5","1900","","WEAVER","ST","","","","1146","K","433","0"
"E23010005755","2023-01-05 09:46:47","5","0","","CAMINO RUIZ","","","CAPRICORN","","HZRD","K","242","1"
"E23010005756","2023-01-05 09:47:33","5","5800","","IMPERIAL","AVE","","","","459A","U","432","3"
"E23010005757","2023-01-05 09:49:12","5","6100","","EL CAJON","BLV","","","","SELENF","K","821","3"
"E23010005758","2023-01-05 09:50:14","5","5400","","LA CUENTA","DR","","","","SCHOOL","K","312","4"
"E23010005759","2023-01-05 09:50:14","5","2800","","MEADOWLARK","DR","","","","459A","K","314","3"
"E23010005760","2023-01-05 09:50:40","5","4800","","PACIFICA","DR","","","","AU2","K","122","2"
"E23010005761","2023-01-05 09:50:58","5","300","","MEADOWBROOK","DR","","","","HZRD","O","437","1"
"E23010005762","2023-01-05 09:51:04","5","40","","17TH","ST","","","","SELENF","K","521","3"
"E23010005763","2023-01-05 09:51:06","5","2200","","COMSTOCK","ST","","","","T","K","621","2"
"E23010005764","2023-01-05 09:51:09","5","5400","","STREAMVIEW","DR","","","","SELENF","K","823","3"
"E23010005765","2023-01-05 09:51:27","5","2500","","IMPERIAL","AVE","","","","MTG","K","512","4"
"E23010005766","2023-01-05 09:52:08","5","4300","","IMPERIAL","AVE","","","","415","K","441","2"
"E23010005767","2023-01-05 09:53:44","5","6500","","TAIT","ST","","","","CW","K","621","1"
"E23010005768","2023-01-05 09:53:48","5","2500","","BACON","ST","","","","1016","A","614","2"
"E23010005769","2023-01-05 09:53:52","5","1200","","44TH","ST","","","","SELENF","K","445","3"
"E23010005770","2023-01-05 09:54:51","5","7400","","MISSION VALLEY","RD","","","","CW","K","315","1"
"E23010005771","2023-01-05 09:56:00","5","0","","03RD","AVE","","K","","415W","K","522","1"
"E23010005772","2023-01-05 09:56:34","5","7200","","FLOREY","ST","","","","AU1171","W","115","1"
"E23010005773","2023-01-05 09:58:50","5","1200","","TOURMALINE","ST","","","","MTG","K","122","4"
"E23010005775","2023-01-05 09:59:41","5","5500","","CHOLLAS STATION","RD","","","","SELENF","O","451","3"
"E23010005776","2023-01-05 10:01:29","5","4600","","CLAIREMONT MESA","BLV","","","","911","K","114","1"
"E23010005777","2023-01-05 10:01:45","5","6200","","SEAMAN","ST","","","","AU2","W","322","2"
"E23010005778","2023-01-05 10:01:58","5","8200","","GOLD COAST","DR","","","","1186","W","242","3"
"E23010005779","2023-01-05 10:02:10","5","5100","","COLLEGE","AVE","","","","AU2","CAN","327","2"
"E23010005780","2023-01-05 10:04:27","5","5100","","BALBOA ARMS","DR","","","","594R","R","111","3"
"E23010005781","2023-01-05 10:04:33","5","4500","","JICARILLO","AVE","","","","911","K","113","1"
"E23010005782","2023-01-05 10:07:05","5","2500","","IMPERIAL","AVE","","","","1016","A","512","2"
"E23010005783","2023-01-05 10:07:45","5","1000","","44TH","ST","","","","10851RR","R","445","3"
"E23010005784","2023-01-05 10:07:50","5","0","","IMPERIAL","AVE","","SAN JACINTO","","23152-CR","A","432","2"
"E23010005785","2023-01-05 10:08:14","5","100","","25TH","ST","","","","1185","O","515","3"
"E23010005786","2023-01-05 10:08:19","5","2500","","IMPERIAL","AVE","","","","PAPER","O","512","3"
"E23010005787","2023-01-05 10:08:47","5","2200","","IRIS","AVE","","","","1185","O","722","3"
"E23010005788","2023-01-05 10:10:19","5","0","","HANCOCK","ST","","WITHERBY","","1151","K","626","2"
"E23010005789","2023-01-05 10:10:34","5","9200","","AERO","DR","","","","LOST","R","311","2"
"E23010005790","2023-01-05 10:11:01","5","6700","","WANDERMERE","DR","","","","911","CAN","325","1"
"E23010005791","2023-01-05 10:12:40","5","12300","","CARMEL MOUNTAIN","RD","","","","211A","U","232","1"
"E23010005792","2023-01-05 10:13:22","5","2400","","PACIFIC","HWY","","","","SELENF","K","527","3"
"E23010005793","2023-01-05 10:14:45","5","4900","","CONCANNON","CT","","","","459A","K","934","2"
"E23010005794","2023-01-05 10:17:59","5","0","","LINDA VISTA","RD","","GLIDDEN","","1188","K","621","2"
"E23010005795","2023-01-05 10:18:52","5","600","","02ND","AVE","","","","10851RR","R","522","3"
"E23010005796","2023-01-05 10:18:55","5","2900","","CALLE CUMBRE","","","","","INFO","W","438","2"
"E23010005797","2023-01-05 10:19:30","5","1000","","06TH","AVE","","","","1146","K","524","0"
"E23010005798","2023-01-05 10:19:32","5","4900","","VOLTAIRE","ST","","","","SELENF","O","614","3"
"E23010005799","2023-01-05 10:22:02","5","2200","","VALNER","CT","","","","1146","R","438","0"
"E23010005800","2023-01-05 10:22:42","5","1600","","BROADWAY","","","","","CC","K","521","3"
"E23010005801","2023-01-05 10:23:12","5","5300","","ORANGE","AVE","","","","SELENF","O","826","3"
"E23010005802","2023-01-05 10:24:48","5","2600","","NATIONAL","AVE","","","","242R","K","511","3"
"E23010005803","2023-01-05 10:26:24","5","4300","","51ST","ST","","","","530","O","826","9"
"E23010005804","2023-01-05 10:26:58","5","3700","","CHRISTINE","ST","","","","5150V","K","114","1"
"E23010005806","2023-01-05 10:27:41","5","3600","","MORENA","BLV","","","","911","CAN","116","1"
"E23010005807","2023-01-05 10:28:04","5","1200","","K","ST","","","","487","W","521","1"
"E23010005808","2023-01-05 10:28:05","5","3700","","FAIRMOUNT","AVE","","","","MTG","K","834","4"
"E23010005809","2023-01-05 10:28:07","5","9200","","AERO","DR","","","","MTG","K","311","4"
"E23010005810","2023-01-05 10:28:41","5","2000","","PARK","BLV","","","","1185","R","531","3"
"E23010005811","2023-01-05 10:28:45","5","1800","","NATIONAL","AVE","","","","911","K","511","1"
"E23010005812","2023-01-05 10:30:22","5","2400","","SAN DIEGO","AVE","","","","T","O","625","2"
"E23010005813","2023-01-05 10:30:56","5","6900","","SKYLINE","DR","","","","CW","K","437","1"
"E23010005814","2023-01-05 10:32:11","5","800","","GATEWAY CENTER","WAY","","","","911","CAN","444","1"
"E23010005816","2023-01-05 10:32:20","5","2500","","OLD QUARRY","RD","","","","MP","R","315","2"
"E23010005817","2023-01-05 10:32:50","5","11700","","BOULTON","AVE","","","","459A","X","232","2"
